date,type,num,quarter,year,month,weekday
2006-03-07,FELONY,449.0,1,2006,3,1
2006-03-08,MISDEMEANOR,840.0,1,2006,3,2
2006-03-08,VIOLATION,218.0,1,2006,3,2
2006-03-08,FELONY,458.0,1,2006,3,2
2006-03-09,VIOLATION,213.0,1,2006,3,3
2006-03-09,FELONY,488.0,1,2006,3,3
2006-03-09,MISDEMEANOR,833.0,1,2006,3,3
2006-03-10,FELONY,544.0,1,2006,3,4
2006-03-10,MISDEMEANOR,893.0,1,2006,3,4
2006-03-10,VIOLATION,226.0,1,2006,3,4
2006-03-11,VIOLATION,207.0,1,2006,3,5
2006-03-11,MISDEMEANOR,825.0,1,2006,3,5
2006-03-11,FELONY,453.0,1,2006,3,5
2006-03-12,FELONY,357.0,1,2006,3,6
2006-03-12,VIOLATION,180.0,1,2006,3,6
2006-03-12,MISDEMEANOR,654.0,1,2006,3,6
2006-03-13,VIOLATION,193.0,1,2006,3,0
2006-03-13,FELONY,497.0,1,2006,3,0
2006-03-13,MISDEMEANOR,774.0,1,2006,3,0
2006-03-14,MISDEMEANOR,818.0,1,2006,3,1
2006-03-14,FELONY,487.0,1,2006,3,1
2006-03-14,VIOLATION,211.0,1,2006,3,1
2006-03-15,VIOLATION,198.0,1,2006,3,2
2006-03-15,MISDEMEANOR,889.0,1,2006,3,2
2006-03-15,FELONY,480.0,1,2006,3,2
2006-03-16,FELONY,494.0,1,2006,3,3
2006-03-16,MISDEMEANOR,817.0,1,2006,3,3
2006-03-16,VIOLATION,206.0,1,2006,3,3
2006-03-17,VIOLATION,191.0,1,2006,3,4
2006-03-17,MISDEMEANOR,889.0,1,2006,3,4
2006-03-17,FELONY,500.0,1,2006,3,4
2006-03-18,MISDEMEANOR,792.0,1,2006,3,5
2006-03-18,FELONY,399.0,1,2006,3,5
2006-03-18,VIOLATION,179.0,1,2006,3,5
2006-03-19,FELONY,362.0,1,2006,3,6
2006-03-19,MISDEMEANOR,657.0,1,2006,3,6
2006-03-19,VIOLATION,163.0,1,2006,3,6
2006-03-20,MISDEMEANOR,829.0,1,2006,3,0
2006-03-20,FELONY,461.0,1,2006,3,0
2006-03-20,VIOLATION,199.0,1,2006,3,0
2006-03-21,VIOLATION,189.0,1,2006,3,1
2006-03-21,MISDEMEANOR,843.0,1,2006,3,1
2006-03-21,FELONY,426.0,1,2006,3,1
2006-03-22,FELONY,474.0,1,2006,3,2
2006-03-22,VIOLATION,185.0,1,2006,3,2
2006-03-22,MISDEMEANOR,837.0,1,2006,3,2
2006-03-23,MISDEMEANOR,863.0,1,2006,3,3
2006-03-23,FELONY,460.0,1,2006,3,3
2006-03-23,VIOLATION,211.0,1,2006,3,3
2006-03-24,FELONY,528.0,1,2006,3,4
2006-03-24,VIOLATION,181.0,1,2006,3,4
2006-03-24,MISDEMEANOR,812.0,1,2006,3,4
2006-03-25,VIOLATION,166.0,1,2006,3,5
2006-03-25,FELONY,424.0,1,2006,3,5
2006-03-25,MISDEMEANOR,801.0,1,2006,3,5
2006-03-26,VIOLATION,156.0,1,2006,3,6
2006-03-26,MISDEMEANOR,709.0,1,2006,3,6
2006-03-26,FELONY,364.0,1,2006,3,6
2006-03-27,FELONY,466.0,1,2006,3,0
2006-03-27,VIOLATION,223.0,1,2006,3,0
2006-03-27,MISDEMEANOR,815.0,1,2006,3,0
2006-03-28,FELONY,476.0,1,2006,3,1
2006-03-28,VIOLATION,195.0,1,2006,3,1
2006-03-28,MISDEMEANOR,833.0,1,2006,3,1
2006-03-29,MISDEMEANOR,823.0,1,2006,3,2
2006-03-29,VIOLATION,178.0,1,2006,3,2
2006-03-29,FELONY,467.0,1,2006,3,2
2006-03-30,VIOLATION,174.0,1,2006,3,3
2006-03-30,FELONY,466.0,1,2006,3,3
2006-03-30,MISDEMEANOR,800.0,1,2006,3,3
2006-03-31,FELONY,475.0,1,2006,3,4
2006-03-31,VIOLATION,199.0,1,2006,3,4
2006-03-31,MISDEMEANOR,807.0,1,2006,3,4
2006-04-01,MISDEMEANOR,1006.0,2,2006,4,5
2006-04-01,VIOLATION,194.0,2,2006,4,5
2006-04-01,FELONY,558.0,2,2006,4,5
2006-04-02,VIOLATION,206.0,2,2006,4,6
2006-04-02,FELONY,362.0,2,2006,4,6
2006-04-02,MISDEMEANOR,720.0,2,2006,4,6
2006-04-03,VIOLATION,221.0,2,2006,4,0
2006-04-03,FELONY,396.0,2,2006,4,0
2006-04-03,MISDEMEANOR,762.0,2,2006,4,0
2006-04-04,MISDEMEANOR,854.0,2,2006,4,1
2006-04-04,VIOLATION,184.0,2,2006,4,1
2006-04-04,FELONY,477.0,2,2006,4,1
2006-04-05,FELONY,455.0,2,2006,4,2
2006-04-05,VIOLATION,188.0,2,2006,4,2
2006-04-05,MISDEMEANOR,857.0,2,2006,4,2
2006-04-06,VIOLATION,215.0,2,2006,4,3
2006-04-06,FELONY,484.0,2,2006,4,3
2006-04-06,MISDEMEANOR,880.0,2,2006,4,3
2006-04-07,VIOLATION,208.0,2,2006,4,4
2006-04-07,FELONY,556.0,2,2006,4,4
2006-04-07,MISDEMEANOR,872.0,2,2006,4,4
2006-04-08,FELONY,429.0,2,2006,4,5
2006-04-08,MISDEMEANOR,766.0,2,2006,4,5
2006-04-08,VIOLATION,172.0,2,2006,4,5
2006-04-09,VIOLATION,170.0,2,2006,4,6
2006-04-09,FELONY,335.0,2,2006,4,6
2006-04-09,MISDEMEANOR,718.0,2,2006,4,6
2006-04-10,FELONY,451.0,2,2006,4,0
2006-04-10,MISDEMEANOR,876.0,2,2006,4,0
2006-04-10,VIOLATION,200.0,2,2006,4,0
2006-04-11,VIOLATION,173.0,2,2006,4,1
2006-04-11,FELONY,438.0,2,2006,4,1
2006-04-11,MISDEMEANOR,832.0,2,2006,4,1
2006-04-12,FELONY,469.0,2,2006,4,2
2006-04-12,MISDEMEANOR,943.0,2,2006,4,2
2006-04-12,VIOLATION,209.0,2,2006,4,2
2006-04-13,MISDEMEANOR,892.0,2,2006,4,3
2006-04-13,VIOLATION,196.0,2,2006,4,3
2006-04-13,FELONY,472.0,2,2006,4,3
2006-04-14,FELONY,447.0,2,2006,4,4
2006-04-14,VIOLATION,172.0,2,2006,4,4
2006-04-14,MISDEMEANOR,817.0,2,2006,4,4
2006-04-15,MISDEMEANOR,832.0,2,2006,4,5
2006-04-15,VIOLATION,205.0,2,2006,4,5
2006-04-15,FELONY,439.0,2,2006,4,5
2006-04-16,FELONY,356.0,2,2006,4,6
2006-04-16,MISDEMEANOR,640.0,2,2006,4,6
2006-04-16,VIOLATION,189.0,2,2006,4,6
2006-04-17,MISDEMEANOR,721.0,2,2006,4,0
2006-04-17,VIOLATION,178.0,2,2006,4,0
2006-04-17,FELONY,443.0,2,2006,4,0
2006-04-18,FELONY,447.0,2,2006,4,1
2006-04-18,MISDEMEANOR,872.0,2,2006,4,1
2006-04-18,VIOLATION,186.0,2,2006,4,1
2006-04-19,MISDEMEANOR,835.0,2,2006,4,2
2006-04-19,FELONY,457.0,2,2006,4,2
2006-04-19,VIOLATION,174.0,2,2006,4,2
2006-04-20,VIOLATION,199.0,2,2006,4,3
2006-04-20,FELONY,454.0,2,2006,4,3
2006-04-20,MISDEMEANOR,905.0,2,2006,4,3
2006-04-21,VIOLATION,194.0,2,2006,4,4
2006-04-21,MISDEMEANOR,788.0,2,2006,4,4
2006-04-21,FELONY,511.0,2,2006,4,4
2006-04-22,FELONY,412.0,2,2006,4,5
2006-04-22,MISDEMEANOR,752.0,2,2006,4,5
2006-04-22,VIOLATION,140.0,2,2006,4,5
2006-04-23,VIOLATION,161.0,2,2006,4,6
2006-04-23,MISDEMEANOR,654.0,2,2006,4,6
2006-04-23,FELONY,353.0,2,2006,4,6
2006-04-24,VIOLATION,167.0,2,2006,4,0
2006-04-24,FELONY,456.0,2,2006,4,0
2006-04-24,MISDEMEANOR,740.0,2,2006,4,0
2006-04-25,FELONY,440.0,2,2006,4,1
2006-04-25,VIOLATION,161.0,2,2006,4,1
2006-04-25,MISDEMEANOR,812.0,2,2006,4,1
2006-04-26,MISDEMEANOR,844.0,2,2006,4,2
2006-04-26,FELONY,472.0,2,2006,4,2
2006-04-26,VIOLATION,174.0,2,2006,4,2
2006-04-27,VIOLATION,205.0,2,2006,4,3
2006-04-27,FELONY,496.0,2,2006,4,3
2006-04-27,MISDEMEANOR,872.0,2,2006,4,3
2006-04-28,VIOLATION,213.0,2,2006,4,4
2006-04-28,FELONY,536.0,2,2006,4,4
2006-04-28,MISDEMEANOR,931.0,2,2006,4,4
2006-04-29,VIOLATION,196.0,2,2006,4,5
2006-04-29,FELONY,459.0,2,2006,4,5
2006-04-29,MISDEMEANOR,761.0,2,2006,4,5
2006-04-30,FELONY,358.0,2,2006,4,6
2006-04-30,VIOLATION,186.0,2,2006,4,6
2006-04-30,MISDEMEANOR,738.0,2,2006,4,6
2006-05-01,VIOLATION,231.0,2,2006,5,0
2006-05-01,FELONY,627.0,2,2006,5,0
2006-05-01,MISDEMEANOR,965.0,2,2006,5,0
2006-05-02,MISDEMEANOR,840.0,2,2006,5,1
2006-05-02,FELONY,503.0,2,2006,5,1
2006-05-02,VIOLATION,193.0,2,2006,5,1
2006-05-03,MISDEMEANOR,847.0,2,2006,5,2
2006-05-03,FELONY,511.0,2,2006,5,2
2006-05-03,VIOLATION,221.0,2,2006,5,2
2006-05-04,FELONY,480.0,2,2006,5,3
2006-05-04,VIOLATION,225.0,2,2006,5,3
2006-05-04,MISDEMEANOR,861.0,2,2006,5,3
2006-05-05,MISDEMEANOR,1036.0,2,2006,5,4
2006-05-05,FELONY,563.0,2,2006,5,4
2006-05-05,VIOLATION,254.0,2,2006,5,4
2006-05-06,FELONY,441.0,2,2006,5,5
2006-05-06,VIOLATION,203.0,2,2006,5,5
2006-05-06,MISDEMEANOR,842.0,2,2006,5,5
2006-05-07,MISDEMEANOR,748.0,2,2006,5,6
2006-05-07,FELONY,407.0,2,2006,5,6
2006-05-07,VIOLATION,209.0,2,2006,5,6
2006-05-08,VIOLATION,187.0,2,2006,5,0
2006-05-08,FELONY,454.0,2,2006,5,0
2006-05-08,MISDEMEANOR,712.0,2,2006,5,0
